# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  165       6.629326681211e-10       1.332510847302e-13      -6.063886813908e-12       0.000000000000e+00 
  166       6.669647614890e-10       1.318982401621e-13      -6.019017091724e-12       0.000000000000e+00 
  167       6.709508320984e-10       1.305138505672e-13      -5.970445284868e-12       0.000000000000e+00 
  168       6.748896993691e-10       1.291005612209e-13      -5.918155723966e-12       0.000000000000e+00 
  169       6.787801651478e-10       1.276611351467e-13      -5.862134871991e-12       0.000000000000e+00 
  170       6.826210134347e-10       1.261984546671e-13      -5.802371363984e-12       0.000000000000e+00 
  171       6.864110101111e-10       1.247155229536e-13      -5.738856046779e-12       0.000000000000e+00 
  172       6.901489026663e-10       1.232154655778e-13      -5.671582018722e-12       0.000000000000e+00 
  173       6.938334199250e-10       1.217015320611e-13      -5.600544669392e-12       0.000000000000e+00 
  174       6.974632717740e-10       1.201770974261e-13      -5.525741719327e-12       0.000000000000e+00 
  175       7.010371488897e-10       1.186456637462e-13      -5.447173259741e-12       0.000000000000e+00 
  176       7.045537224652e-10       1.171108616968e-13      -5.364841792247e-12       0.000000000000e+00 
  177       7.080116439373e-10       1.155764521052e-13      -5.278752268583e-12       0.000000000000e+00 
  178       7.114095447137e-10       1.140463275016e-13      -5.188912130326e-12       0.000000000000e+00 
  179       7.147460359002e-10       1.125245136692e-13      -5.095331348621e-12       0.000000000000e+00 
  180       7.180197952771e-10       1.110150286189e-13      -4.998021240856e-12       0.000000000000e+00 
  181       7.212298365301e-10       1.095214437382e-13      -4.896990732541e-12       0.000000000000e+00 
  182       7.243752609463e-10       1.080472906552e-13      -4.792249873882e-12       0.000000000000e+00 
  183       7.274551721354e-10       1.065962016974e-13      -4.683811071087e-12       0.000000000000e+00 
  184       7.304686760790e-10       1.051719109174e-13      -4.571689121577e-12       0.000000000000e+00 
  185       7.334148811785e-10       1.037782551180e-13      -4.455901249213e-12       0.000000000000e+00 
  186       7.362928983038e-10       1.024191748777e-13      -4.336467139503e-12       0.000000000000e+00 
  187       7.391018408418e-10       1.010987155759e-13      -4.213408974825e-12       0.000000000000e+00 
  188       7.418408247449e-10       9.982102841852e-14      -4.086751469642e-12       0.000000000000e+00 
  189       7.445089685796e-10       9.859037146299e-14      -3.956521905721e-12       0.000000000000e+00 
  190       7.471053935748e-10       9.741111064379e-14      -3.822750167345e-12       0.000000000000e+00 
  191       7.496292236704e-10       9.628772079777e-14      -3.685468776537e-12       0.000000000000e+00 
  192       7.520795855658e-10       9.522478668948e-14      -3.544712928270e-12       0.000000000000e+00 
  193       7.544556087684e-10       9.422700403649e-14      -3.400520525689e-12       0.000000000000e+00 
  194       7.567564256420e-10       9.329918053479e-14      -3.252932215326e-12       0.000000000000e+00 
  195       7.589811714556e-10       9.244623688407e-14      -3.101991422317e-12       0.000000000000e+00 
  196       7.611289844315e-10       9.167320781308e-14      -2.947744385619e-12       0.000000000000e+00 
  197       7.631990057941e-10       9.098524310501e-14      -2.790240193226e-12       0.000000000000e+00 
  198       7.651903798181e-10       9.038760862277e-14      -2.629530817389e-12       0.000000000000e+00 
  199       7.671022538773e-10       8.988568733440e-14      -2.465671149830e-12       0.000000000000e+00 
  200       7.689337784931e-10       8.948498033836e-14      -2.298719036960e-12       0.000000000000e+00 
  201       7.706841668547e-10       8.919084578802e-14      -2.128732331679e-12       0.000000000000e+00 
  202       7.723528780184e-10       8.900769275072e-14      -1.955759740855e-12       0.000000000000e+00 
  203       7.739394469034e-10       8.893973167547e-14      -1.779849391225e-12       0.000000000000e+00 
  204       7.754434262185e-10       8.899123156737e-14      -1.601051780280e-12       0.000000000000e+00 
  205       7.768643866869e-10       8.916652023824e-14      -1.419419802665e-12       0.000000000000e+00 
  206       7.782019172701e-10       8.946998455739e-14      -1.235008776578e-12       0.000000000000e+00 
  207       7.794556253921e-10       8.990607070225e-14      -1.047876470171e-12       0.000000000000e+00 
  208       7.806251371640e-10       9.047928440911e-14      -8.580831279464e-13       0.000000000000e+00 
  209       7.817100976079e-10       9.119419122381e-14      -6.656914971593e-13       0.000000000000e+00 
  210       7.827101708816e-10       9.205541675243e-14      -4.707668542154e-13       0.000000000000e+00 
  211       7.836250405024e-10       9.306764691201e-14      -2.733770310713e-13       0.000000000000e+00 
  212       7.844544095717e-10       9.423562818121e-14      -7.359244163295e-14       0.000000000000e+00 
  213       7.851980009992e-10       9.556416785104e-14       1.285138918441e-13       0.000000000000e+00 
  214       7.858555577269e-10       9.705813427555e-14       3.328663123558e-13       0.000000000000e+00 
  215       7.864268429539e-10       9.872245712252e-14       5.393865017498e-13       0.000000000000e+00 
  216       7.869116403602e-10       1.005621276242e-13       7.479934543263e-13       0.000000000000e+00 
  217       7.873097543312e-10       1.025821988279e-13       9.586034504385e-13       0.000000000000e+00 
  218       7.876210101818e-10       1.047877858468e-13       1.171130030093e-12       0.000000000000e+00 
  219       7.878452543810e-10       1.071840661107e-13       1.385483966551e-12       0.000000000000e+00 
  220       7.879823547756e-10       1.097762796165e-13       1.601573239928e-12       0.000000000000e+00 
  221       7.880322008152e-10       1.125697291790e-13       1.819303010796e-12       0.000000000000e+00 
  222       7.879947037759e-10       1.155697806818e-13       2.038575593781e-12       0.000000000000e+00 
  223       7.878697969847e-10       1.187818633276e-13       2.259290431166e-12       0.000000000000e+00 
  224       7.876574558744e-10       1.222111025732e-13       2.481349344070e-12       0.000000000000e+00 
  225       7.873577591160e-10       1.258611921941e-13       2.704672715751e-12       0.000000000000e+00 
  226       7.869708318515e-10       1.297354501762e-13       2.929184297825e-12       0.000000000000e+00 
  227       7.864968264863e-10       1.338371788927e-13       3.154806012467e-12       0.000000000000e+00 
  228       7.859359229608e-10       1.381696644796e-13       3.381457938581e-12       0.000000000000e+00 
  229       7.852883290219e-10       1.427361762127e-13       3.609058297960e-12       0.000000000000e+00 
  230       7.845542804946e-10       1.475399658831e-13       3.837523441460e-12       0.000000000000e+00 
  231       7.837340415533e-10       1.525842671737e-13       4.066767835159e-12       0.000000000000e+00 
  232       7.828279049934e-10       1.578722950350e-13       4.296704046530e-12       0.000000000000e+00 
  233       7.818361925027e-10       1.634072450617e-13       4.527242730600e-12       0.000000000000e+00 
  234       7.807592549329e-10       1.691922928682e-13       4.758292616121e-12       0.000000000000e+00 
  235       7.795974725712e-10       1.752305934655e-13       4.989760491738e-12       0.000000000000e+00 
  236       7.783512554118e-10       1.815252806366e-13       5.221551192148e-12       0.000000000000e+00 
  237       7.770210434270e-10       1.880794663132e-13       5.453567584274e-12       0.000000000000e+00 
  238       7.756073068391e-10       1.948962399514e-13       5.685710553427e-12       0.000000000000e+00 
  239       7.741105463919e-10       2.019786679083e-13       5.917878989472e-12       0.000000000000e+00 
  240       7.725312936219e-10       2.093297928176e-13       6.149969772996e-12       0.000000000000e+00 
  241       7.708701111299e-10       2.169526329662e-13       6.381877761476e-12       0.000000000000e+00 
  242       7.691275928526e-10       2.248501816702e-13       6.613495775439e-12       0.000000000000e+00 
  243       7.673043643339e-10       2.330254066507e-13       6.844714584634e-12       0.000000000000e+00 
  244       7.654010829965e-10       2.414812494105e-13       7.075422894197e-12       0.000000000000e+00 
  245       7.634184384135e-10       2.502206246099e-13       7.305507330815e-12       0.000000000000e+00 
  246       7.613571525796e-10       2.592464194429e-13       7.534852428896e-12       0.000000000000e+00 
  247       7.592179801827e-10       2.685614930131e-13       7.763340616729e-12       0.000000000000e+00 
  248       7.570017088756e-10       2.781686757105e-13       7.990852202659e-12       0.000000000000e+00 
  249       7.547091595471e-10       2.880707685867e-13       8.217265361247e-12       0.000000000000e+00 
  250       7.523411584607e-10       2.982701770057e-13       8.442463524293e-12       0.000000000000e+00 
  251       7.498984513256e-10       3.087677894347e-13       8.666358055497e-12       0.000000000000e+00 
  252       7.473817847932e-10       3.195640327224e-13       8.888866857755e-12       0.000000000000e+00 
  253       7.447919343598e-10       3.306592306858e-13       9.109907086408e-12       0.000000000000e+00 
  254       7.421297045848e-10       3.420536027865e-13       9.329395149561e-12       0.000000000000e+00 
  255       7.393959293082e-10       3.537472628079e-13       9.547246708416e-12       0.000000000000e+00 
  256       7.365914718683e-10       3.657402175314e-13       9.763376677592e-12       0.000000000000e+00 
  257       7.337172253194e-10       3.780323654137e-13       9.977699225460e-12       0.000000000000e+00 
  258       7.307741126494e-10       3.906234952630e-13       1.019012777446e-11       0.000000000000e+00 
  259       7.277630869977e-10       4.035132849161e-13       1.040057500145e-11       0.000000000000e+00 
  260       7.246851318725e-10       4.167012999152e-13       1.060895283799e-11       0.000000000000e+00 
  261       7.215412613691e-10       4.301869921841e-13       1.081517247072e-11       0.000000000000e+00 
  262       7.183325203869e-10       4.439696987057e-13       1.101914434165e-11       0.000000000000e+00 
  263       7.150599848475e-10       4.580486401982e-13       1.122077814850e-11       0.000000000000e+00 
  264       7.117247619123e-10       4.724229197918e-13       1.141998284503e-11       0.000000000000e+00 
  265       7.083279902001e-10       4.870915217059e-13       1.161666664136e-11       0.000000000000e+00 
  266       7.048708400048e-10       5.020533099255e-13       1.181073700430e-11       0.000000000000e+00 
  267       7.013545135134e-10       5.173070268781e-13       1.200210065769e-11       0.000000000000e+00 
  268       6.977802450231e-10       5.328512921100e-13       1.219066358270e-11       0.000000000000e+00 
  269       6.941493011596e-10       5.486846009638e-13       1.237633101817e-11       0.000000000000e+00 
  270       6.904629810941e-10       5.648053232545e-13       1.255900746095e-11       0.000000000000e+00 
  271       6.867226167617e-10       5.812117019465e-13       1.273859666620e-11       0.000000000000e+00 
  272       6.829295730786e-10       5.979018518304e-13       1.291500164774e-11       0.000000000000e+00 
  273       6.790852481601e-10       6.148737581995e-13       1.308812467837e-11       0.000000000000e+00 
  274       6.751910735379e-10       6.321252755268e-13       1.325786729019e-11       0.000000000000e+00 
  275       6.712485143781e-10       6.496541261415e-13       1.342413027494e-11       0.000000000000e+00 
  276       6.672590696989e-10       6.674578989061e-13       1.358681368432e-11       0.000000000000e+00 
  277       6.632242725880e-10       6.855340478925e-13       1.374581683030e-11       0.000000000000e+00 
  278       6.591456904206e-10       7.038798910596e-13       1.390103828549e-11       0.000000000000e+00 
  279       6.550248413706e-10       7.224924898116e-13       1.405238387530e-11       0.000000000000e+00 
  280       6.508629387098e-10       7.413682834907e-13       1.419979111228e-11       0.000000000000e+00 
  281       6.466611336853e-10       7.605034333702e-13       1.434320602836e-11       0.000000000000e+00 
  282       6.424205981211e-10       7.798939385675e-13       1.448257530950e-11       0.000000000000e+00 
  283       6.381425245074e-10       7.995356345377e-13       1.461784630836e-11       0.000000000000e+00 
  284       6.338281260898e-10       8.194241915672e-13       1.474896705681e-11       0.000000000000e+00 
  285       6.294786369580e-10       8.395551132677e-13       1.487588627864e-11       0.000000000000e+00 
  286       6.250953121352e-10       8.599237350702e-13       1.499855340207e-11       0.000000000000e+00 
  287       6.206794276672e-10       8.805252227181e-13       1.511691857241e-11       0.000000000000e+00 
  288       6.162322807114e-10       9.013545707615e-13       1.523093266464e-11       0.000000000000e+00 
  289       6.117551896260e-10       9.224066010508e-13       1.534054729602e-11       0.000000000000e+00 
  290       6.072494940589e-10       9.436759612304e-13       1.544571483870e-11       0.000000000000e+00 
  291       6.027165550371e-10       9.651571232326e-13       1.554638843229e-11       0.000000000000e+00 
  292       5.981577550556e-10       9.868443817712e-13       1.564252199652e-11       0.000000000000e+00 
  293       5.935744981666e-10       1.008731852835e-12       1.573407024379e-11       0.000000000000e+00 
  294       5.889682100684e-10       1.030813472184e-12       1.582098869181e-11       0.000000000000e+00 
  295       5.843403381950e-10       1.053082993837e-12       1.590323367617e-11       0.000000000000e+00 
  296       5.796923518045e-10       1.075533988573e-12       1.598076236297e-11       0.000000000000e+00 
  297       5.750257420687e-10       1.098159842420e-12       1.605353276143e-11       0.000000000000e+00 
  298       5.703420221623e-10       1.120953755151e-12       1.612150373646e-11       0.000000000000e+00 
  299       5.656427273514e-10       1.143908738776e-12       1.618463502128e-11       0.000000000000e+00 
  300       5.609294150833e-10       1.167017616036e-12       1.624288723003e-11       0.000000000000e+00 
  301       5.562036650751e-10       1.190273018899e-12       1.629622187038e-11       0.000000000000e+00 
  302       5.514670794030e-10       1.213667387053e-12       1.634460135609e-11       0.000000000000e+00 
  303       5.467212825916e-10       1.237192966395e-12       1.638798901967e-11       0.000000000000e+00 
  304       5.419679217025e-10       1.260841807534e-12       1.642634912496e-11       0.000000000000e+00 
