# Matter power spectrum P(k) at redshift z=0
# for k=1.02818e-05 to 1.74161 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.292962036589e-01       8.876826364285e+02 
       3.324504484076e-01       8.699451337948e+02 
       3.356046937064e-01       8.522683627408e+02 
       3.387589395399e-01       8.347865871315e+02 
       3.419131858932e-01       8.177406246340e+02 
       3.450674327520e-01       8.012428557707e+02 
       3.482216801025e-01       7.854916904243e+02 
       3.513759279314e-01       7.705426273856e+02 
       3.545301762258e-01       7.564392529220e+02 
       3.576844249735e-01       7.431767324814e+02 
       3.608386741623e-01       7.306826116414e+02 
       3.639929237810e-01       7.188483828508e+02 
       3.671471738182e-01       7.075416468514e+02 
       3.703014242634e-01       6.966325318866e+02 
       3.734556751060e-01       6.860394414766e+02 
       3.766099263360e-01       6.756153924354e+02 
       3.797641779439e-01       6.652956945866e+02 
       3.829184299201e-01       6.550094424563e+02 
       3.860726822557e-01       6.447595034660e+02 
       3.892269349418e-01       6.344780511128e+02 
       3.923811879700e-01       6.241563891048e+02 
       3.955354413321e-01       6.138300012938e+02 
       3.986896950201e-01       6.036074604323e+02 
       4.018439490262e-01       5.935065135031e+02 
       4.049982033431e-01       5.835910397162e+02 
       4.081524579635e-01       5.739151113037e+02 
       4.113067128804e-01       5.645073445399e+02 
       4.144609680869e-01       5.553624935111e+02 
       4.176152235766e-01       5.465783679624e+02 
       4.207694793430e-01       5.380925531741e+02 
       4.239237353799e-01       5.299149260893e+02 
       4.270779916813e-01       5.220360247461e+02 
       4.302322482414e-01       5.144271800967e+02 
       4.333865050545e-01       5.071139676142e+02 
       4.365407621151e-01       4.999773584041e+02 
       4.396950194178e-01       4.929993932324e+02 
       4.428492769574e-01       4.861407553856e+02 
       4.460035347290e-01       4.793759040215e+02 
       4.491577927276e-01       4.726847693367e+02 
       4.523120509484e-01       4.660568960953e+02 
       4.554663093868e-01       4.594881115833e+02 
       4.586205680383e-01       4.529765910503e+02 
       4.617748268985e-01       4.465238290825e+02 
       4.649290859632e-01       4.401367624472e+02 
       4.680833452282e-01       4.338289150371e+02 
       4.712376046895e-01       4.276196596045e+02 
       4.743918643431e-01       4.215337141450e+02 
       4.775461241852e-01       4.155886743564e+02 
       4.807003842122e-01       4.097983995380e+02 
       4.838546444203e-01       4.041685969432e+02 
       4.870089048060e-01       3.986961547536e+02 
       4.901631653660e-01       3.933715232232e+02 
       4.933174260968e-01       3.881842413991e+02 
       4.964716869951e-01       3.831243857955e+02 
       4.996259480579e-01       3.781822877258e+02 
       5.027802092820e-01       3.733462948916e+02 
       5.059344706643e-01       3.686049406830e+02 
       5.090887322020e-01       3.639422412030e+02 
       5.122429938921e-01       3.593465818971e+02 
       5.153972557318e-01       3.548063775216e+02 
       5.185515177184e-01       3.503159412496e+02 
       5.217057798492e-01       3.458768549873e+02 
       5.248600421217e-01       3.414935825690e+02 
       5.280143045332e-01       3.371724029598e+02 
       5.311685670813e-01       3.329182739656e+02 
       5.343228297635e-01       3.287336974347e+02 
       5.374770925776e-01       3.246205127124e+02 
       5.406313555211e-01       3.205765683963e+02 
       5.437856185918e-01       3.166051181070e+02 
       5.469398817875e-01       3.127094124867e+02 
       5.500941451061e-01       3.088934952331e+02 
       5.532484085454e-01       3.051577582318e+02 
       5.564026721035e-01       3.015017613639e+02 
       5.595569357781e-01       2.979204654132e+02 
       5.627111995675e-01       2.944071989484e+02 
       5.658654634697e-01       2.909554812238e+02 
       5.690197274827e-01       2.875610707830e+02 
       5.721739916049e-01       2.842218565213e+02 
       5.753282558343e-01       2.809354562805e+02 
       5.784825201691e-01       2.777029926765e+02 
       5.816367846078e-01       2.745200579264e+02 
       5.847910491486e-01       2.713829768208e+02 
       5.879453137898e-01       2.682878539052e+02 
       5.910995785298e-01       2.652320508863e+02 
       5.942538433672e-01       2.622154431659e+02 
       5.974081083002e-01       2.592407373231e+02 
       6.005623733274e-01       2.563110534141e+02 
       6.037166384474e-01       2.534299661097e+02 
       6.068709036586e-01       2.505958528406e+02 
       6.100251689597e-01       2.478090517085e+02 
       6.131794343492e-01       2.450676566139e+02 
       6.163336998259e-01       2.423695320475e+02 
       6.194879653883e-01       2.397149321472e+02 
       6.556058577819e-01       2.121515678267e+02 
       6.990413998449e-01       1.844872211473e+02 
       7.538128235525e-01       1.563569258333e+02 
       8.277307481177e-01       1.271056636065e+02 
       9.371042801517e-01       9.626027156237e+01 
       1.113318254547e+00       6.507367272564e+01 
       1.384194011566e+00       3.933312064004e+01 
       1.741608704671e+00       2.290975395468e+01 
